チップ名,コード,枚数
マグボルト1,D,99
マグボルト1,＊,4
マグボルト2,E,38
マグボルト2,F,45
マグボルト2,G,35
マグボルト3,A,39
マグボルト3,B,37
マグボルト3,C,35
トルネード,E,46
トルネード,L,46
トルネード,T,99
ノイズストーム,B,39
ノイズストーム,G,35
ノイズストーム,Z,45
ノイズストーム,＊,99
ミニボム,B,99
ミニボム,L,99
ミニボム,T,85
ミニボム,＊,95
エナジーボム,E,62
エナジーボム,N,99
エナジーボム,T,99
エナジーボム,＊,2
メガエナジーボム,D,44
メガエナジーボム,J,38
メガエナジーボム,W,39
ホウガン,B,52
ホウガン,T,46
ホウガン,V,99
ホウガン,＊,8
ブラツクボム,D,99
ブラツクボム,H,40
ブラツクボム,Z,99
カンケツセン,B,38
カンケツセン,L,47
カンケツセン,V,39
バグボム,B,39
バグボム,G,99
バグボム,Z,37
バグボム,＊,34
バウンドノート1,C,99
バウンドノート1,O,74
バウンドノート1,S,99
バウンドノート1,＊,99
バウンドノート2,A,43
バウンドノート2,T,43
バウンドノート2,Y,39
バウンドノート3,E,41
バウンドノート3,I,34
バウンドノート3,O,36
ソード,E,99
ソード,L,39
ソード,S,95
ワイドソード,E,99
ワイドソード,L,34
ワイドソード,S,95
ロングソード,E,64
ロングソード,L,58
ロングソード,S,99
ワイドブレード,C,52
ワイドブレード,K,99
ワイドブレード,S,39
ロングブレード,G,46
ロングブレード,R,41
ロングブレード,S,35
カスタムソード,B,61
カスタムソード,P,35
カスタムソード,S,99
バリアブルソード,C,99
バリアブルソード,J,39
バリアブルソード,V,95
イアイフオーム,F,34
イアイフオーム,H,46
イアイフオーム,R,53
フウジンラケツト,A,48
フウジンラケツト,L,40
フウジンラケツト,R,34
フウジンラケツト,＊,12
エアホツケー1,D,99
エアホツケー1,E,99
エアホツケー1,F,98
エアホツケー1,＊,6
エアホツケー2,I,34
エアホツケー2,J,67
エアホツケー2,K,55
エアホツケー3,U,34
エアホツケー3,V,40
エアホツケー3,W,37
カウンター1,F,99
カウンター1,M,34
カウンター1,T,99
カウンター1,＊,25
カウンター2,B,39
カウンター2,H,50
カウンター2,L,93
カウンター2,＊,21
カウンター3,A,35
カウンター3,N,34
カウンター3,V,40
ブーメラン1,L,99
ブーメラン1,M,99
ブーメラン1,N,99
ブーメラン1,＊,99
ブーメラン2,L,53
ブーメラン2,M,57
ブーメラン2,N,34
ブーメラン3,S,38
ブーメラン3,T,35
ブーメラン3,U,34
サイドバンブー1,B,99
サイドバンブー1,I,43
サイドバンブー1,R,99
サイドバンブー1,＊,99
サイドバンブー2,H,41
サイドバンブー2,O,56
サイドバンブー2,S,34
サイドバンブー3,A,41
サイドバンブー3,F,36
サイドバンブー3,U,34
バンブーランス,A,43
バンブーランス,G,49
バンブーランス,R,39
バンブーランス,＊,34
ホワイトウエブ1,D,99
ホワイトウエブ1,L,38
ホワイトウエブ1,R,46
ホワイトウエブ1,＊,99
ホワイトウエブ2,C,40
ホワイトウエブ2,E,34
ホワイトウエブ2,Y,34
ホワイトウエブ2,＊,34
ホワイトウエブ3,K,26
ホワイトウエブ3,O,34
ホワイトウエブ3,V,39
ホワイトウエブ3,＊,16
モコラツシユ1,C,99
モコラツシユ1,I,99
モコラツシユ1,M,49
モコラツシユ2,G,41
モコラツシユ2,K,35
モコラツシユ2,U,65
モコラツシユ3,O,52
モコラツシユ3,T,40
モコラツシユ3,Y,40
サークルガン1,H,96
サークルガン1,T,95
サークルガン1,Z,42
サークルガン2,D,34
サークルガン2,G,42
サークルガン2,T,35
サークルガン3,J,34
サークルガン3,M,34
サークルガン3,R,36
カモンスネーク,D,44
カモンスネーク,M,99
カモンスネーク,R,99
マグナム,H,79
マグナム,Q,36
マグナム,V,96
ビツグハンマー1,B,99
ビツグハンマー1,O,38
ビツグハンマー1,R,99
ビツグハンマー2,G,47
ビツグハンマー2,J,47
ビツグハンマー2,W,57
ビツグハンマー3,D,36
ビツグハンマー3,V,34
ビツグハンマー3,Z,34
ボーイズボム1,E,93
ボーイズボム1,J,57
ボーイズボム1,M,91
ボーイズボム2,I,34
ボーイズボム2,S,60
ボーイズボム2,W,42
ボーイズボム3,G,39
ボーイズボム3,T,34
ボーイズボム3,V,39
カウントボム,J,34
カウントボム,K,68
カウントボム,L,99
ステルスマイン,C,36
ステルスマイン,H,34
ステルスマイン,Z,99
ストーンキユーブ,＊,96
トツプウ,＊,99
スイコミ,＊,82
オウエンカ,E,99
オウエンカ,G,65
オウエンカ,N,61
オウエンカ,＊,51
デイスコード,D,95
デイスコード,T,42
デイスコード,V,99
デイスコード,＊,34
テインパニー,P,48
テインパニー,T,43
テインパニー,Z,45
テインパニー,＊,34
サイレンス,C,43
サイレンス,M,50
サイレンス,R,34
サイレンス,＊,34
ワラニンギヨウ,I,36
ワラニンギヨウ,O,36
ワラニンギヨウ,Y,96
メツトガード1,A,98
メツトガード1,L,99
メツトガード1,V,99
メツトガード1,＊,99
メツトガード2,C,99
メツトガード2,G,38
メツトガード2,P,99
メツトガード2,＊,52
メツトガード3,F,34
メツトガード3,R,49
メツトガード3,T,48
メツトガード3,＊,35
クラツクアウト,＊,99
ダブルクラツク,B,40
ダブルクラツク,L,34
ダブルクラツク,R,41
ダブルクラツク,＊,99
トリプルクラツク,B,34
トリプルクラツク,L,34
トリプルクラツク,R,40
トリプルクラツク,＊,99
リカバリー10,A,99
リカバリー10,L,99
リカバリー10,N,49
リカバリー10,＊,99
リカバリー30,F,46
リカバリー30,H,35
リカバリー30,R,99
リカバリー30,＊,15
リカバリー50,E,99
リカバリー50,L,40
リカバリー50,S,99
リカバリー50,＊,99
リカバリー80,B,99
リカバリー80,J,99
リカバリー80,O,99
リカバリー80,＊,87
リカバリー120,F,99
リカバリー120,J,48
リカバリー120,Q,85
リカバリー120,＊,37
リカバリー150,C,99
リカバリー150,T,56
リカバリー150,Z,99
リカバリー200,H,34
リカバリー200,M,58
リカバリー200,W,43
リカバリー300,J,99
リカバリー300,N,36
リカバリー300,Y,36
リペアー,I,43
リペアー,P,57
リペアー,R,34
リペアー,＊,32
パネルスチール,K,34
パネルスチール,O,36
パネルスチール,Y,34
パネルスチール,＊,99
エリアスチール,E,99
エリアスチール,M,99
エリアスチール,S,99
エリアスチール,＊,20
スチールゼリー,K,34
スチールゼリー,T,99
スチールゼリー,Z,99
スチールパニシユ,E,51
スチールパニシユ,K,38
スチールパニシユ,P,71
スチールリベンジ,D,35
スチールリベンジ,J,34
スチールリベンジ,N,43
パネルリターン,＊,55
デスマツチ1,J,46
デスマツチ1,K,51
デスマツチ1,W,88
デスマツチ2,N,48
デスマツチ2,T,57
デスマツチ2,Y,40
デスマツチ3,H,36
デスマツチ3,Q,44
デスマツチ3,U,66
ヘビーゲージ,E,89
ヘビーゲージ,H,47
ヘビーゲージ,V,35
ヘビーゲージ,＊,13
クイツクゲージ,I,46
クイツクゲージ,Q,47
クイツクゲージ,U,57
クイツクゲージ,＊,35
ブラインド,＊,99
スーパーキタカゼ,E,42
スーパーキタカゼ,N,38
スーパーキタカゼ,T,92
スーパーキタカゼ,＊,32
ホーリーパネル,＊,79
ダークホール,＊,98
インビジブル,＊,99
ユカシタ,J,35
ユカシタ,P,34
ユカシタ,Y,36
ユカシタ,＊,90
バリア,A,99
バリア,D,58
バリア,Z,43
バリア,＊,59
バリア100,P,39
バリア100,Q,39
バリア100,W,94
バリア200,I,34
バリア200,O,36
バリア200,U,34
カキゲンキン,K,44
ダイコウズイ,D,34
ヒライシン,H,44
マヨイノモリ,M,55
カワリミ,K,34
カワリミ,M,34
カワリミ,R,44
シラハドリ,C,62
シラハドリ,I,34
シラハドリ,N,99
シラハドリ,＊,35
ナビスカウト,J,34
ナビスカウト,M,34
ナビスカウト,T,54
バツドメデイスン,B,34
バツドメデイスン,D,58
バツドメデイスン,G,38
コピーダメージ,＊,98
ライフシンクロ,N,48
ライフシンクロ,Q,51
ライフシンクロ,Y,34
アタツク+10,＊,89
ナビ+20,＊,72
カラーポイント,＊,99
ハヤブサギリ3,I,5
ハヤブサギリ3,N,5
ハヤブサギリ3,Z,11
ナンバーボール3,L,10
ナンバーボール3,T,10
パネルシユート3,F,13
パネルシユート3,N,15
パネルシユート3,＊,9
アクアアツパー3,F,5
アクアアツパー3,K,5
アクアアツパー3,W,5
グリーンウツド3,E,5
グリーンウツド3,N,15
グリーンウツド3,P,15
スーパーバルカン,V,44
リユウセイグン,R,42
ゴツドハンマー,G,34
オジゾウサン,O,98
ジエラシー,J,44
バグシユウセイ,B,34
バグシユウセイ,＊,1
フルカスタム,＊,95
ダブルポイント,＊,34
ダークライン,L,48
ダークライン,＊,99
ブルース,B,74
ブルースSP,B,48
ナンバーマン,N,35
ジヤンクマン,J,1
アクアマン,A,2
ウツドマン,W,75
タツプマン,T,37
タツプマンSP,T,2
バーナーマン,B,57
コールドマン,C,99
コールドマンSP,C,34
スパークマン,S,46
シエードマン,X,56
ケンドーマン,K,36
ビデオマン,V,52
ガンデルソルEX,G,97
Zセイバー,Z,2
シグナルレツド,S,1
カースオブバグ,C,1
